[08:09:30.391] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240118
[08:09:31.954] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240118
[08:09:33.603] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240401
[08:09:34.927] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240612
[08:09:35.704] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240801
[08:09:36.847] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240926
[08:09:37.970] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20241125
[08:09:39.003] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20250122
[08:09:39.613] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240417
[08:09:42.843] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240304
[08:09:44.775] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240409
[08:09:48.887] Fragment Rerender - Config: ('KRWQ3L', '20240118', '20260123'), Selected: 20240610
[08:11:54.467] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:11:57.171] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:11:57.682] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210611
[08:11:58.194] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20231212
[08:11:58.715] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220519
[08:11:59.221] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200720
[08:11:59.733] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200814
[08:12:00.242] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20180329
[08:12:00.751] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210106
[08:12:01.261] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230530
[08:12:01.775] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230717
[08:12:02.285] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240809
[08:12:02.796] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210929
[08:12:03.307] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200107
[08:12:03.820] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210707
[08:12:04.334] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210819
[08:12:04.847] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200113
[08:12:05.359] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200429
[08:12:05.869] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230131
[08:12:06.381] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190619
[08:12:06.898] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20170414
[08:12:07.997] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:12:12.019] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
